Checked,name_en,name_ja,key_author,affiliation_en,affiliation_ja,mail
,Jinfang Jiang,,JINFANG JIANG,,,
,Jing Cai,,JING CAI,,,
,Jing Zhao,,JING ZHAO,,,
,Joao Caldeira,,JOAO CALDEIRA,,,
,Joel J. P. C. Rodrigues,,JOEL J. P. C. RODRIGUES,,,
,Joel J.P.C. Rodrigues,,JOEL J.P.C. RODRIGUES,,,
,Joel Rodrigues,,JOEL RODRIGUES,,,
,John Breslin,,JOHN BRESLIN,,,
1,"Joseph, Korpela",,JOSEPH KORPELA,Osaka University,大阪大学,
,Juan Lorenzo Hagad,,JUAN LORENZO HAGAD,,,
,Julien Eberle,,JULIEN EBERLE,,,
1,"Kadobayash, Rieko",門林 理恵子,RIEKO KADOBAYASH,,,
,Kai Lin,,KAI LIN,,,
,"Kai, Meika",裴 明花,裴 明花,,,
1,"Kaji, Mitsuru",加治 充,MITSURU KAJI,,,
1,"Kamahara, Junzo",鎌原 淳三,JUNZO KAMAHARA,,,
,Kamalas Udomlamlert,,KAMALAS UDOMLAMLERT,,,
1,"Kamei, Koji",亀井 剛次,KOJI KAMEI,,,
,"Kameno, Hiroya",亀野 弘昭,亀野 弘昭,,,
,"Kamiya, Kenji",神山 健治,神山 健治,,,
,"Kamiya, Toshimitsu",神谷 俊充,神谷 俊充,Osaka University,大阪大学,
1,"Kanazawa, Masanori",金澤 正憲,KANAZAWA MASANORI,,,
1,"Kaneda, Teruya",金田 輝哉,KANEDA TERUYA,,,
1,"Kaneko, Yu ",金子 雄,YU KANEKO,,,
1,"Kanzaki, Akimitsu",神崎 映光,AKIMITSU KANZAKI,,,
,Karl Aberer,,KARL ABERER,,,
1,"Kashita, Masakazu",,MASAKAZU KASHITA,,,
1,"Kashitani, Atsushi",,ATSUSHI KASHITANI,,,
,"Kashiwatani, Atsushi",柏谷 篤,柏谷 篤,,,
,"Kasita, Masakazu",加下 雅一,加下 雅一,,,
,"Katayama, Kei",片山 肇,片山 肇,,,
1,"Katayama, Takuya ",片山 拓也,TAKUYA KATAYAMA,,,
1,"Kato, Ryo",加藤 諒,RYO KATO,Osaka University,大阪大学,
1,"Kato, Seiichi",,SEIICHI KATO,,,
,"Kato, Seiichi",加藤 精一,加藤 精一,,,
1,"Kato, Shinya ",加藤 慎也,SHINYA KATO,Osaka University,大阪大学,
,"Kawaguchi, Kakeru",川口 翔,川口 翔,,,
,"Kawakami, Keishi",川上 慶士,川上 慶士,Osaka University,大阪大学,
1,"Kawakami, Tomoya ",川上 朋也,TOMOYA KAWAKAMI,,,
1,"Kawanabe, Motoaki",,MOTOAKI KAWANABE,,,
,"Kawanami, Hidemi",川並 秀観,川並 秀観,,,
,"Kawanishi, Nao",川西 直,川西 直,,,
1,"Kawano, Hiroyuki",河野 浩之,HIROYUKI KAWANO,,,
1,"Kawasumi, Ryo",川住 涼,RYO KAWASUMI,,,
1,Kazuya Murao,松尾 和哉,KAZUYA MURAO,,,
1,"Kido, Yuki ",木戸 裕樹,YUKI KIDO,,,
,"Kimura, Akira",木村 章,木村 章,,,
,"Kimura, Asako",木村 朝子,木村朝子,,,
1,"Kimura, Kotaro",,KOTARO KIMURA,,,
,Kin F. Li,,KIN F. LI,,,
1,"Kinoshita, Kohei",木下 浩平,KOHEI KINOSHITA,,,
,"Kirekawa, Yu",喜連川 優,喜連川 優[コーディネーター],,,
,"Kishino, Humiro",岸野 文郎,岸野 文郎,,,
1,"Kishino, Ryohei",,RYOHEI KISHINO,,,
1,"Kishino, Yasue",岸野 泰恵,KISHINO YASUE,,,
,"Kitahama, Hideki",北濱 秀基,北濱 秀基,,,
1,"Kitajima, Shinya",北島 信哉,KITAJIMA SHINYA,,,
,"Kitamura, Yoshihumi",北村 喜文,北村 喜文,,,
,"Kiyo, kazyutaka",清 一隆,清 一隆,,,
1,"Kiyokawa, Kiyoshi",清川 清,KIYOSHI KIYOKAWA,,,
,"Ko, XXX",黄 元柱,黄 元柱,,,
,"Ko, XXX2",黄 耀華,黄 耀華,,,
,"Ko, Zen",孔 全,孔 全,,,
,"Kobana, Sadao",小花 貞夫,小花 貞夫,,,
1,"Kobayashi, Keita",小林 啓太,KEITA KOBAYASHI,,,
1,"Kobayashi, Shouhei",,SHOUHEI KOBAYASHI,,,
,"Kobayashi, Yui",小林 由依,小林 由依,,,
1,"Kobayashi, Yukie ",,YUKIE KOBAYASHI,,,
1,Kodai Mako,真子 広大,KODAI MAKO,,,
1,"Kodama, Kenji",児玉 賢治,KENJI KODAMA,,,
1,"Kodera, Takuya ",小寺 拓也,TAKUYA KODERA,,,
1,"Kohigashi, Kohichi",,KOHICHI KOHIGASHI,,,
,"Koizumi, Jyunji",小泉 潤二,小泉 潤二,,,
,"Kojima, Akira",小島 明,小島 明,,,
1,"Kojima, Sohei ",,SOHEI KOJIMA,,,
1,"Komai, Yuka ",駒井 友香,YUKA KOMAI,Osaka University,大阪大学,
1,"Komaki, Daijiro",小牧 大治郎,DAIJIRO KOMAKI,,,
,"Kondo, Satoru",近藤 悟,近藤 悟,,,
1,"Kondo, Shinya ",近藤 真也,SHINYA KONDO,,,
,Kong Quan,,KONG QUAN,,,
,"Konishi, Osamu",小西 修,小西 修,,,
,"Konishi, Takashige",小西 孝重,小西 孝重,,,
,"Konishi, Yuji",小西 佑治,小西 佑治,,,
1,"Kosaka, Yoshihiro ",小坂 佳弘,YOSHIHIRO KOSAKA,,,
1,"Koujin, Takako ",,TAKAKO KOUJIN,,,
1,"Koyamada, Koji",,KOYAMADA KOJI,,,
,Kriengsak Treeprapin,,KRIENGSAK TREEPRAPIN,,,
,Kristof Van Laerhoven,,KRISTOF VAN LAERHOVEN,,,
,"Kubo, Kenta",久保 建太,久保 建太,,,
,"Kubo, Shinya",久保 信也,久保 信也,,,
,"Kuga, Ryohei",久賀 稜平,久賀 稜平,,,
,"Kujirai, Toshihiro",鯨井 俊宏,鯨井 俊宏,,,
,"Kumamaru, Keita",熊丸 恵太,熊丸 恵太,,,
,Kun Wang,,KUN WANG,,,
,Kun Zhang,,KUN ZHANG,,,
,"Kurasawa, Nao",倉沢 央,倉沢 央,,,
,"Kure, XXX",呉 乾禮,呉 乾禮,,,
,"Kuroda, Taku",黒田 卓,黒田 卓,,,
